customer_id,customer_name,customer_type,locality,city,state,industry,acquisition_date,preferred_categories,average_order_value,purchase_frequency_per_month,payment_preference,credit_limit,agreed_credit_days,payment_reliability,payer_class,return_probability,discount_sensitivity,churn_probability,is_interstate
CUS000017,Vinod Rao,retail,Ghatkopar,Mumbai,Maharashtra,N/A (individual),2025-04-11,televisions,2565.84,0.488,UPI,0.0,0,0.55,late,0.1651,0.269,0.3373,False
CUS000018,Pankaj Shaikh,retail,Dombivli,Mumbai,Maharashtra,N/A (individual),2023-01-29,monitors|webcams,1964.05,0.054,cash,0.0,0,0.4759,normal,0.2446,0.423,0.1695,False
CUS000019,Meera Tiwari,retail,Surat,Surat,Gujarat,N/A (individual),2025-11-21,storage_devices|routers|feature_phones|headphones,1496.07,0.409,cash,0.0,0,0.901,excellent,0.0114,0.321,0.2123,True
CUS000020,Ananya Khan,retail,Andheri East,Mumbai,Maharashtra,N/A (individual),2025-01-25,monitors|tablets|accessories,1380.94,0.497,cash,0.0,0,0.6859,normal,0.0265,0.655,0.1251,False
CUS000021,Ramesh Reddy,retail,Ghatkopar,Mumbai,Maharashtra,N/A (individual),2022-07-22,routers|smartphones,3850.93,0.286,UPI,0.0,0,0.7422,normal,0.1271,0.707,0.2658,False
CUS000022,Vasant Trading Co. Pvt. Ltd.,corporate,Santacruz,Mumbai,Maharashtra,Logistics,2023-06-21,chargers|headphones,72121.78,0.12,bank_transfer,283000.0,30,0.1056,late,0.2319,0.333,0.1679,False
CUS000023,Sai Technologies,small_business,Ahmedabad,Ahmedabad,Gujarat,Retail Trade,2023-12-06,keyboards,10553.35,0.891,bank_transfer,72000.0,15,0.9873,excellent,0.2004,0.581,0.251,True
CUS000024,Sai Tiwari,retail,Nashik,Nashik,Maharashtra,N/A (individual),2024-04-05,smartwatches|cables,1957.6,0.211,UPI,0.0,0,0.8105,normal,0.0837,0.64,0.1078,False
CUS000025,Suraj Electronics,small_business,Vashi,Mumbai,Maharashtra,Hospitality,2023-04-23,tablets|headphones|webcams|cables,8556.13,1.088,credit,75000.0,15,0.0947,late,0.1166,0.128,0.0757,False
CUS000026,Pankaj Agarwal,retail,Khar,Mumbai,Maharashtra,N/A (individual),2025-05-27,storage_devices|laptops|mice,2033.01,0.085,UPI,0.0,0,0.6215,normal,0.25,0.096,0.1758,False
CUS000027,Saanvi Desai,retail,Bandra West,Mumbai,Maharashtra,N/A (individual),2025-10-15,accessories,1815.12,0.311,credit_card,0.0,0,0.7074,normal,0.0737,0.271,0.1243,False
CUS000028,Silver Electronics,small_business,Bengaluru,Bengaluru,Karnataka,Healthcare,2023-03-19,tablets|printers|power_banks,26514.22,0.683,bank_transfer,20000.0,30,0.5277,normal,0.1353,0.628,0.2056,True
CUS000029,Rajesh Khan,retail,Jogeshwari,Mumbai,Maharashtra,N/A (individual),2024-05-17,printers|feature_phones,4484.42,0.313,UPI,0.0,0,0.3309,normal,0.25,0.471,0.1153,False
CUS000030,Nikhil Joshi,retail,Goregaon,Mumbai,Maharashtra,N/A (individual),2026-04-25,televisions|laptops|routers,1669.74,0.05,UPI,0.0,0,0.4563,normal,0.0607,0.368,0.3862,False
CUS000031,Ayesha Kumar,retail,Bandra West,Mumbai,Maharashtra,N/A (individual),2025-03-22,earbuds,1537.35,0.238,UPI,0.0,0,0.0294,late,0.0561,0.103,0.1839,False
CUS000032,Rajesh D'Souza,retail,Malad,Mumbai,Maharashtra,N/A (individual),2022-07-09,headphones,1973.14,0.404,credit_card,0.0,0,0.744,normal,0.0471,0.712,0.3122,False
CUS000033,Imran Fernandes,retail,Kandivali,Mumbai,Maharashtra,N/A (individual),2025-12-02,chargers|televisions|accessories,1367.09,1.04,credit_card,0.0,0,0.8881,excellent,0.1721,0.449,0.1348,False
CUS000034,Krishna Vora,retail,Bengaluru,Bengaluru,Karnataka,N/A (individual),2025-04-06,ups_devices|laptops|webcams|mice,5052.06,0.05,credit_card,0.0,0,0.6694,normal,0.2197,0.683,0.1241,True
CUS000035,Dev Bhatia,retail,Malad,Mumbai,Maharashtra,N/A (individual),2024-09-16,headphones,1903.33,0.051,UPI,0.0,0,0.6439,normal,0.1622,0.209,0.036,False
CUS000036,Manoj Jain,retail,Thane West,Mumbai,Maharashtra,N/A (individual),2023-10-05,mice|keyboards|printers,1456.26,0.647,debit_card,0.0,0,0.2,normal,0.0272,0.138,0.0572,False
CUS000037,Vinod Menon,retail,Santacruz,Mumbai,Maharashtra,N/A (individual),2024-01-12,chargers|ups_devices|speakers,4426.98,1.073,UPI,0.0,0,0.9626,excellent,0.0475,0.18,0.1866,False
CUS000038,Ganesh Systems,small_business,Jogeshwari,Mumbai,Maharashtra,Healthcare,2026-06-07,smartwatches|routers|power_banks|televisions,26370.12,0.736,credit,129000.0,15,0.6245,normal,0.1787,0.663,0.1953,False
CUS000039,Sanjay D'Souza,retail,Chembur,Mumbai,Maharashtra,N/A (individual),2022-12-12,monitors,1366.98,0.695,cash,0.0,0,0.99,excellent,0.0471,0.412,0.0826,False
CUS000040,Anika Deshmukh,retail,Goregaon,Mumbai,Maharashtra,N/A (individual),2024-06-23,mice|laptops,796.97,0.05,UPI,0.0,0,0.5644,normal,0.0894,0.454,0.0574,False
CUS000041,Kavya Bose,retail,Vashi,Mumbai,Maharashtra,N/A (individual),2022-08-12,earbuds|headphones,611.11,0.376,UPI,0.0,0,0.4,normal,0.2215,0.106,0.0842,False
CUS000042,Shree Infotech Corp.,corporate,Delhi,Delhi,Delhi,Healthcare,2023-11-14,cables|ups_devices|webcams|mice,25000.0,0.928,UPI,183000.0,60,0.6249,normal,0.0631,0.5,0.2587,True
CUS000043,Vasant Retail,small_business,Andheri West,Mumbai,Maharashtra,Media,2024-05-17,tablets|earbuds|accessories,16929.88,2.149,bank_transfer,27000.0,45,0.9,normal,0.1087,0.33,0.2109,False
CUS000044,Star Communications Pvt. Ltd.,corporate,Nagpur,Nagpur,Maharashtra,Media,2024-01-25,routers,25000.0,0.385,bank_transfer,165000.0,30,0.6316,normal,0.1097,0.204,0.3015,False
CUS000045,Kavita Agarwal,retail,Jogeshwari,Mumbai,Maharashtra,N/A (individual),2024-03-26,televisions,1946.65,1.067,debit_card,0.0,0,0.0758,late,0.1561,0.754,0.2356,False
CUS000046,Skyline Retail,small_business,Jogeshwari,Mumbai,Maharashtra,Healthcare,2025-04-07,smartphones|webcams|feature_phones,6516.54,1.167,bank_transfer,36000.0,30,0.376,normal,0.0153,0.368,0.0645,False
CUS000047,Karan D'Souza,retail,Goregaon,Mumbai,Maharashtra,N/A (individual),2024-03-03,storage_devices|laptops|headphones|tablets,2231.55,0.341,cash,0.0,0,0.0642,late,0.25,0.183,0.1563,False
CUS000048,Ganesh Mobile Point,small_business,Bandra East,Mumbai,Maharashtra,Real Estate,2023-06-26,earbuds|webcams|power_banks|chargers,7600.9,0.312,credit,25000.0,15,0.2801,normal,0.0474,0.397,0.2137,False
CUS000049,Rahul Pandey,retail,Dombivli,Mumbai,Maharashtra,N/A (individual),2023-03-17,routers|mice,3870.41,0.05,cash,0.0,0,0.6587,normal,0.0861,0.292,0.1219,False
CUS000050,Aditya Desai,retail,Borivali,Mumbai,Maharashtra,N/A (individual),2026-06-11,power_banks|storage_devices|printers|routers,710.96,0.633,UPI,0.0,0,0.2165,normal,0.1851,0.306,0.5991,False
CUS000051,Royal Distributors,small_business,Jogeshwari,Mumbai,Maharashtra,Real Estate,2024-10-28,printers|earbuds|keyboards|monitors,10748.65,0.331,UPI,30000.0,45,0.5435,normal,0.0533,0.711,0.1396,False
CUS000052,Kirti Trading Co. Pvt. Ltd.,corporate,Ahmedabad,Ahmedabad,Gujarat,Finance,2024-06-27,mice|smartphones,38703.82,0.101,bank_transfer,206000.0,45,0.7423,normal,0.1645,0.107,0.312,True
CUS000053,Nisha Chauhan,retail,Thane West,Mumbai,Maharashtra,N/A (individual),2025-03-13,tablets|mice|accessories,1542.08,0.684,cash,0.0,0,0.9582,excellent,0.112,0.226,0.182,False
CUS000054,Ganesh Distributors,small_business,Andheri East,Mumbai,Maharashtra,Finance,2025-08-03,ups_devices,8593.56,5.719,bank_transfer,20000.0,0,0.3814,normal,0.2445,0.833,0.1976,False
CUS000055,Siddharth Kulkarni,retail,Jogeshwari,Mumbai,Maharashtra,N/A (individual),2023-01-22,tablets|feature_phones,2470.21,0.282,debit_card,0.0,0,0.6687,normal,0.2415,0.799,0.0585,False
CUS000056,Ayesha Pereira,retail,Pune,Pune,Maharashtra,N/A (individual),2026-01-06,tablets,6136.32,0.08,UPI,0.0,0,0.6356,normal,0.124,0.61,0.0919,False
CUS000057,Priya Kumar,retail,Indore,Indore,Madhya Pradesh,N/A (individual),2024-09-18,televisions|accessories|monitors,3449.76,0.379,credit_card,0.0,0,0.7467,excellent,0.0743,0.417,0.3128,True
CUS000058,Sagar Digital World,small_business,Bengaluru,Bengaluru,Karnataka,Finance,2023-05-13,power_banks|feature_phones,10810.87,0.148,credit,20000.0,0,0.7365,normal,0.1047,0.459,0.1532,True
CUS000059,Sai Chopra,retail,Ghatkopar,Mumbai,Maharashtra,N/A (individual),2023-03-15,televisions|power_banks|tablets|earbuds,1742.73,0.072,cash,0.0,0,0.6509,normal,0.0565,0.466,0.0947,False
CUS000060,Royal Mobile Point,small_business,Khar,Mumbai,Maharashtra,Finance,2023-07-01,keyboards|ups_devices|televisions|webcams,5347.41,1.006,credit,20000.0,30,0.877,excellent,0.063,0.178,0.4917,False
CUS000061,Deepak Mukherjee,retail,Ghatkopar,Mumbai,Maharashtra,N/A (individual),2024-09-06,printers|smartphones,472.52,0.345,UPI,0.0,0,0.7771,normal,0.0193,0.308,0.3776,False
CUS000062,Sanjay Trivedi,retail,Santacruz,Mumbai,Maharashtra,N/A (individual),2025-06-19,ups_devices,3602.99,0.284,UPI,0.0,0,0.1081,late,0.1464,0.484,0.1765,False
CUS000063,Ananya Malhotra,retail,Mulund,Mumbai,Maharashtra,N/A (individual),2022-07-20,speakers|earbuds,3069.61,1.156,UPI,0.0,0,0.5628,normal,0.25,0.481,0.1424,False
CUS000064,Farhan Gupta,retail,Pune,Pune,Maharashtra,N/A (individual),2025-03-11,accessories|earbuds|tablets,2672.07,0.307,UPI,0.0,0,0.0908,late,0.1203,0.334,0.1768,False
CUS000065,Vikram Bhatia,retail,Nagpur,Nagpur,Maharashtra,N/A (individual),2026-06-30,cables|smartphones|routers,1478.95,0.401,cash,0.0,0,0.55,late,0.1411,0.237,0.0596,False
CUS000066,Neha Chopra,retail,Dadar,Mumbai,Maharashtra,N/A (individual),2022-12-12,ups_devices,2810.71,0.452,credit_card,0.0,0,0.5857,normal,0.1559,0.228,0.1007,False
CUS000067,Pankaj Sharma,retail,Bandra West,Mumbai,Maharashtra,N/A (individual),2025-08-10,keyboards,4184.91,0.107,cash,0.0,0,0.2,normal,0.1311,0.167,0.1931,False
CUS000068,Kavya Tiwari,retail,Malad,Mumbai,Maharashtra,N/A (individual),2024-09-23,printers|smartwatches|mice,812.93,0.11,UPI,0.0,0,0.874,excellent,0.25,0.758,0.0137,False
CUS000069,Nisha Nair,retail,Bandra East,Mumbai,Maharashtra,N/A (individual),2026-06-18,storage_devices|ups_devices,1773.3,0.389,UPI,0.0,0,0.3318,normal,0.114,0.778,0.1194,False
CUS000070,Rajesh Trivedi,retail,Ghatkopar,Mumbai,Maharashtra,N/A (individual),2023-11-08,mice,955.68,0.448,debit_card,0.0,0,0.027,late,0.1218,0.398,0.1379,False
CUS000071,Prakash Kumar,retail,Ghatkopar,Mumbai,Maharashtra,N/A (individual),2023-09-09,tablets|storage_devices,10781.64,0.05,UPI,0.0,0,0.6036,normal,0.0819,0.272,0.2373,False
CUS000072,Krishna Banerjee,retail,Pune,Pune,Maharashtra,N/A (individual),2023-09-17,ups_devices,1465.25,0.526,UPI,0.0,0,0.6033,normal,0.1672,0.774,0.1942,False
CUS000073,Vasant Enterprises,small_business,Ghatkopar,Mumbai,Maharashtra,Education,2024-01-03,accessories|feature_phones,7055.46,2.57,UPI,42000.0,15,0.2,normal,0.0662,0.2,0.0342,False
CUS000074,Aditya Ansari,retail,Dombivli,Mumbai,Maharashtra,N/A (individual),2024-05-26,smartphones,3937.24,0.053,cash,0.0,0,0.2044,late,0.0958,0.609,0.167,False
CUS000075,Sunil Vora,retail,Dadar,Mumbai,Maharashtra,N/A (individual),2025-02-20,mice|smartwatches|earbuds|feature_phones,2580.22,0.387,cash,0.0,0,0.4708,normal,0.0093,0.259,0.005,False
CUS000076,Aarav Pillai,retail,Dadar,Mumbai,Maharashtra,N/A (individual),2023-07-13,smartphones|accessories|feature_phones|mice,2862.68,0.806,credit_card,0.0,0,0.4026,normal,0.0835,0.111,0.1153,False
CUS000077,Prime Technologies,small_business,Mulund,Mumbai,Maharashtra,Media,2023-12-08,feature_phones|webcams|routers,4014.54,0.479,credit,25000.0,15,0.6789,normal,0.1461,0.064,0.2335,False
CUS000078,Suraj Solutions,small_business,Goregaon,Mumbai,Maharashtra,Hospitality,2023-06-05,keyboards,10734.64,0.646,UPI,36000.0,45,0.2109,late,0.2109,0.32,0.2544,False
CUS000079,Diya Tiwari,retail,Nagpur,Nagpur,Maharashtra,N/A (individual),2025-06-15,webcams|smartwatches|feature_phones|headphones,1319.16,0.506,credit_card,0.0,0,0.5746,normal,0.25,0.101,0.035,False
CUS000080,Anika Bose,retail,Malad,Mumbai,Maharashtra,N/A (individual),2023-05-15,printers|webcams|monitors,502.2,1.288,UPI,0.0,0,0.2,normal,0.1522,0.438,0.1708,False
CUS000081,Prime Systems Corp.,corporate,Khar,Mumbai,Maharashtra,Manufacturing,2023-06-03,routers|ups_devices,25000.0,0.316,bank_transfer,238000.0,60,0.8059,normal,0.078,0.228,0.0375,False
CUS000082,Andheri Retail Pvt. Ltd.,corporate,Dadar,Mumbai,Maharashtra,Real Estate,2025-12-02,chargers,25000.0,0.054,credit,233000.0,15,0.5874,normal,0.1688,0.485,0.2955,False
CUS000083,Sagar Impex LLP,corporate,Ghatkopar,Mumbai,Maharashtra,Education,2026-05-17,feature_phones|smartphones|ups_devices,63270.69,0.058,bank_transfer,197000.0,45,0.6905,normal,0.0346,0.523,0.0537,False
CUS000084,Alok Deshmukh,retail,Borivali,Mumbai,Maharashtra,N/A (individual),2025-11-20,cables,1310.99,0.51,UPI,0.0,0,0.3174,normal,0.25,0.571,0.1207,False
CUS000085,Kavita Joshi,retail,Delhi,Delhi,Delhi,N/A (individual),2025-07-26,smartphones,5916.58,0.306,UPI,0.0,0,0.8068,normal,0.2212,0.404,0.2278,True
CUS000086,Arjun Iyer,retail,Khar,Mumbai,Maharashtra,N/A (individual),2022-09-15,webcams|routers|power_banks|cables,2032.04,0.278,debit_card,0.0,0,0.3926,normal,0.0599,0.157,0.1637,False
CUS000087,Metro Enterprises,small_business,Kurla,Mumbai,Maharashtra,Healthcare,2023-11-16,storage_devices|chargers|laptops,27541.96,3.043,UPI,20000.0,15,0.3295,normal,0.1397,0.477,0.0651,False
CUS000088,Rohan Agarwal,retail,Chembur,Mumbai,Maharashtra,N/A (individual),2023-05-28,cables|keyboards|webcams|laptops,3093.61,0.162,debit_card,0.0,0,0.9003,excellent,0.1757,0.759,0.1199,False
CUS000089,Saanvi Yadav,retail,Nagpur,Nagpur,Maharashtra,N/A (individual),2025-01-21,accessories,2157.97,0.152,UPI,0.0,0,0.4519,normal,0.0833,0.739,0.106,False
CUS000090,Kirti Technologies,small_business,Nashik,Nashik,Maharashtra,Healthcare,2023-05-26,earbuds,22396.0,2.761,credit,22000.0,45,0.7623,normal,0.0826,0.657,0.0538,False
CUS000091,Rajesh Rathod,retail,Dombivli,Mumbai,Maharashtra,N/A (individual),2023-10-13,accessories|smartwatches|cables|routers,2085.82,0.359,debit_card,0.0,0,0.2405,late,0.0315,0.18,0.2946,False
CUS000092,Ishaan Pillai,retail,Powai,Mumbai,Maharashtra,N/A (individual),2025-07-11,smartwatches|ups_devices|power_banks,776.82,0.209,cash,0.0,0,0.3532,normal,0.1429,0.836,0.106,False
CUS000093,Sagar Trading Co.,small_business,Delhi,Delhi,Delhi,Media,2026-06-02,tablets|cables|power_banks|headphones,7518.58,1.543,credit,24000.0,15,0.1046,late,0.1301,0.662,0.1269,True
CUS000094,Farhan Verma,retail,Borivali,Mumbai,Maharashtra,N/A (individual),2025-12-20,accessories|monitors|keyboards,1669.42,0.159,credit_card,0.0,0,0.2667,late,0.2184,0.54,0.3522,False
CUS000095,Alok Mukherjee,retail,Goregaon,Mumbai,Maharashtra,N/A (individual),2022-09-04,monitors|storage_devices,2976.45,0.368,credit_card,0.0,0,0.4323,normal,0.1176,0.762,0.3153,False
CUS000096,Dev Kapoor,retail,Ghatkopar,Mumbai,Maharashtra,N/A (individual),2026-03-15,tablets|smartphones|ups_devices|televisions,5159.17,0.05,UPI,0.0,0,0.4464,late,0.0828,0.318,0.043,False
CUS000097,Pooja Rao,retail,Dombivli,Mumbai,Maharashtra,N/A (individual),2025-04-25,televisions,1473.81,0.368,UPI,0.0,0,0.8649,normal,0.0349,0.576,0.2989,False
CUS000098,Isha Menon,retail,Bandra East,Mumbai,Maharashtra,N/A (individual),2024-12-04,monitors,4647.55,0.966,UPI,0.0,0,0.8155,normal,0.0686,0.321,0.1738,False
CUS000099,Priya Kumar,retail,Vashi,Mumbai,Maharashtra,N/A (individual),2024-07-04,speakers|tablets|printers,1880.87,0.228,cash,0.0,0,0.8102,normal,0.25,0.738,0.1467,False
CUS000100,Ishaan Singh,retail,Surat,Surat,Gujarat,N/A (individual),2026-03-18,storage_devices|smartphones,1328.65,0.079,credit_card,0.0,0,0.7342,normal,0.1258,0.569,0.1982,True
CUS000101,Krishna Pereira,retail,Nashik,Nashik,Maharashtra,N/A (individual),2023-01-21,televisions|printers|ups_devices,3380.57,0.311,cash,0.0,0,0.7592,normal,0.1677,0.589,0.2472,False
CUS000102,City Traders LLP,corporate,Surat,Surat,Gujarat,Finance,2023-03-31,headphones|monitors,92456.71,0.223,UPI,287000.0,45,0.1779,late,0.0758,0.248,0.1442,True
CUS000103,Ganesh Deshmukh,retail,Dombivli,Mumbai,Maharashtra,N/A (individual),2024-02-04,headphones|storage_devices,2512.06,0.085,UPI,0.0,0,0.7389,normal,0.25,0.258,0.1083,False
CUS000104,Skyline Technologies,small_business,Indore,Indore,Madhya Pradesh,Real Estate,2025-11-22,storage_devices|speakers|keyboards,4917.8,1.412,credit,20000.0,45,0.08,late,0.0447,0.491,0.2217,True
CUS000105,Horizon Gadget Hub Corp.,corporate,Jogeshwari,Mumbai,Maharashtra,Education,2025-03-07,laptops|speakers|earbuds,35835.24,0.05,bank_transfer,449000.0,60,0.5769,normal,0.25,0.195,0.1159,False
CUS000106,Anil Menon,retail,Andheri East,Mumbai,Maharashtra,N/A (individual),2025-07-05,webcams|feature_phones|mice|smartwatches,2280.02,0.156,debit_card,0.0,0,0.9433,excellent,0.2199,0.448,0.1159,False
CUS000107,Vihaan Pandey,retail,Surat,Surat,Gujarat,N/A (individual),2023-12-11,webcams|monitors|keyboards,1552.77,0.233,UPI,0.0,0,0.3728,normal,0.1685,0.372,0.1763,True
CUS000108,Sunil Kapoor,retail,Vile Parle,Mumbai,Maharashtra,N/A (individual),2025-12-10,monitors|storage_devices,410.42,0.578,credit_card,0.0,0,0.8367,normal,0.1843,0.551,0.1213,False
CUS000109,Ishaan Pillai,retail,Bandra East,Mumbai,Maharashtra,N/A (individual),2023-07-01,headphones,2007.97,0.818,debit_card,0.0,0,0.0698,late,0.1485,0.41,0.2721,False
CUS000110,Nisha Deshmukh,retail,Mulund,Mumbai,Maharashtra,N/A (individual),2022-12-19,earbuds|routers|monitors|keyboards,2990.89,0.402,cash,0.0,0,0.342,late,0.0661,0.265,0.0224,False
CUS000111,Kavya Colaco,retail,Andheri West,Mumbai,Maharashtra,N/A (individual),2025-07-28,ups_devices|keyboards|earbuds,688.45,0.328,credit_card,0.0,0,0.5032,normal,0.0246,0.443,0.0652,False
CUS000112,Star Electronics,small_business,Vashi,Mumbai,Maharashtra,Real Estate,2023-04-19,feature_phones|webcams|mice|speakers,3478.03,0.838,UPI,33000.0,30,0.76,normal,0.1191,0.33,0.1646,False
CUS000113,Saanvi Kulkarni,retail,Malad,Mumbai,Maharashtra,N/A (individual),2025-03-17,televisions|accessories|cables|feature_phones,2374.27,0.461,UPI,0.0,0,0.9216,excellent,0.25,0.153,0.1111,False
CUS000114,Royal Technologies,small_business,Pune,Pune,Maharashtra,Education,2026-01-04,storage_devices|earbuds|smartphones|routers,11248.7,0.819,credit,44000.0,30,0.5274,normal,0.2466,0.242,0.5665,False
CUS000115,Sunil Fernandes,retail,Indore,Indore,Madhya Pradesh,N/A (individual),2023-10-20,power_banks|televisions|keyboards,2416.43,0.193,UPI,0.0,0,0.6347,excellent,0.0851,0.156,0.1117,True
CUS000116,Vinod Menon,retail,Kandivali,Mumbai,Maharashtra,N/A (individual),2025-01-08,keyboards,5495.39,1.111,credit_card,0.0,0,0.4657,normal,0.1627,0.321,0.2291,False
CUS000117,Priya Menon,retail,Bandra East,Mumbai,Maharashtra,N/A (individual),2025-03-20,webcams|ups_devices,2057.53,0.45,UPI,0.0,0,0.7351,normal,0.25,0.482,0.3979,False
CUS000118,Rohan Kulkarni,retail,Andheri West,Mumbai,Maharashtra,N/A (individual),2022-12-02,storage_devices,3607.49,0.166,cash,0.0,0,0.659,normal,0.146,0.266,0.1144,False
CUS000119,Vikram Yadav,retail,Kandivali,Mumbai,Maharashtra,N/A (individual),2023-07-09,printers,2058.27,0.558,UPI,0.0,0,0.503,normal,0.2123,0.02,0.1086,False
CUS000120,Suresh Pandey,retail,Powai,Mumbai,Maharashtra,N/A (individual),2025-12-04,earbuds|feature_phones|monitors|smartphones,3662.79,0.184,credit_card,0.0,0,0.5105,normal,0.1541,0.758,0.4444,False
CUS000121,Vivaan Pereira,retail,Dadar,Mumbai,Maharashtra,N/A (individual),2024-12-12,webcams,868.86,0.104,debit_card,0.0,0,0.6177,normal,0.1973,0.738,0.0669,False
CUS000122,Pooja Shah,retail,Borivali,Mumbai,Maharashtra,N/A (individual),2022-09-11,mice|power_banks,2484.63,0.05,credit_card,0.0,0,0.4767,normal,0.25,0.397,0.0653,False
CUS000123,Anil Kumar,retail,Ghatkopar,Mumbai,Maharashtra,N/A (individual),2024-11-13,televisions|smartwatches,1611.6,0.263,cash,0.0,0,0.7753,excellent,0.0318,0.58,0.2108,False
CUS000124,Karan Vora,retail,Bengaluru,Bengaluru,Karnataka,N/A (individual),2026-05-21,tablets,1089.23,0.729,cash,0.0,0,0.62,normal,0.1643,0.395,0.1133,True
CUS000125,Horizon Impex,small_business,Vile Parle,Mumbai,Maharashtra,IT Services,2025-08-10,printers,10627.15,0.1,bank_transfer,75000.0,30,0.8704,excellent,0.1033,0.533,0.2459,False
CUS000126,Kirti Solutions LLP,corporate,Thane West,Mumbai,Maharashtra,Hospitality,2024-11-09,monitors|feature_phones|speakers,42332.98,0.05,credit,150000.0,45,0.7088,normal,0.0878,0.774,0.2202,False
CUS000127,Prakash Trivedi,retail,Nashik,Nashik,Maharashtra,N/A (individual),2022-12-28,speakers|tablets,1234.7,0.383,cash,0.0,0,0.6216,normal,0.25,0.82,0.1379,False
CUS000128,Kirti Trading Co.,small_business,Malad,Mumbai,Maharashtra,Media,2025-01-11,accessories|webcams,31163.97,1.311,bank_transfer,91000.0,0,0.5378,normal,0.1808,0.265,0.0077,False
CUS000129,Vasant Systems,small_business,Nagpur,Nagpur,Maharashtra,Hospitality,2024-01-03,laptops|tablets|mice,8592.56,3.611,bank_transfer,23000.0,30,0.7844,excellent,0.0201,0.296,0.1138,False
CUS000130,Shree Infotech,small_business,Dombivli,Mumbai,Maharashtra,Manufacturing,2025-05-30,power_banks,14305.06,0.913,credit,63000.0,30,0.7878,normal,0.1981,0.535,0.3209,False
CUS000131,Vivaan Khan,retail,Borivali,Mumbai,Maharashtra,N/A (individual),2025-01-09,smartphones,5504.04,0.64,UPI,0.0,0,0.6945,normal,0.055,0.284,0.1984,False
CUS000132,Saanvi Vora,retail,Indore,Indore,Madhya Pradesh,N/A (individual),2024-06-10,ups_devices|webcams|laptops,4159.77,0.534,cash,0.0,0,0.2477,normal,0.1549,0.131,0.1425,True
